date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-10-23,21.05,25.26,25.26,21.05,147.95,7.72,44.01,25.26,25.26,25.26,147.95,147.95,147.95,0.05
2017-10-24,27.79,27.79,27.79,27.79,106.79,2.53,10.02,26.525,26.525,26.525,127.37,127.37,127.37,0.03
2017-10-25,30.57,30.57,30.57,30.57,65.72,2.78,10.0,27.873,27.873,27.873,106.82,106.82,106.82,0.02
2017-10-26,33.63,33.63,33.63,33.63,176.95,3.06,10.01,29.313,29.313,29.313,124.35,124.35,124.35,0.06
2017-10-27,36.99,36.99,36.99,36.99,782.11,3.36,9.99,30.848,30.848,30.848,255.9,255.9,255.9,0.24
2017-10-30,40.69,40.69,40.69,40.69,15477.62,3.7,10.0,33.934,32.488,32.488,3321.84,2792.86,2792.86,4.84
2017-10-31,40.7,43.7,41.79,40.0,183885.34,1.1,2.7,36.734,33.817,33.817,40077.55,28663.21,28663.21,57.46
2017-11-01,40.6,43.38,43.2,39.38,157823.73,1.41,3.37,39.26,34.99,34.99,71629.15,44808.28,44808.28,49.32
2017-11-02,41.31,41.8,38.88,38.88,112316.43,-4.32,-10.0,40.31,35.422,35.422,94057.05,52309.18,52309.18,35.1
2017-11-03,37.47,38.11,36.13,35.88,88493.53,-2.75,-7.07,40.138,35.493,35.493,111599.33,55927.62,55927.62,27.65
2017-11-06,36.9,37.2,36.41,36.02,54385.62,0.28,0.78,39.282,36.608,35.576,119380.93,61351.38,55787.44,17.0
2017-11-07,36.17,36.58,36.37,34.9,69777.62,-0.04,-0.11,38.198,37.466,35.643,96559.39,68318.47,56953.28,21.81
2017-11-08,36.08,38.39,37.33,35.91,96419.54,0.96,2.64,37.024,38.142,35.772,84278.55,77953.85,59989.15,30.13
2017-11-09,36.84,38.25,37.76,36.68,69563.99,0.43,1.15,36.8,38.555,35.914,75728.06,84892.55,60673.07,21.74
2017-11-10,37.25,38.48,37.41,37.25,65630.1,-0.33,-0.87,37.056,38.597,36.014,71155.37,91377.35,61003.54,20.51
2017-11-13,36.99,37.48,36.29,36.21,55713.46,-1.11,-2.97,37.032,38.157,36.031,71420.94,95400.94,60672.91,17.41
2017-11-14,36.2,36.47,34.85,34.5,60981.32,-1.45,-3.99,36.728,37.463,35.962,69661.68,83110.53,60691.05,19.06
2017-11-15,34.76,34.76,33.94,33.65,35949.12,-0.87,-2.5,36.05,36.537,35.849,57567.6,70923.07,59316.5,11.23
2017-11-16,33.8,34.33,33.85,33.67,24761.58,-0.15,-0.44,35.268,36.034,35.744,48607.12,62167.59,57497.82,7.74
2017-11-17,34.1,34.24,30.97,30.58,45207.78,-2.83,-8.37,33.98,35.518,35.506,44522.65,57839.01,56883.32,14.13
2017-11-20,30.61,31.34,31.25,29.62,27475.2,0.29,0.94,32.972,35.002,35.805,38875.0,55147.97,58249.68,8.59
2017-11-21,31.24,31.24,30.71,29.86,30685.21,-0.49,-1.57,32.144,34.436,35.951,32815.78,51238.73,59778.6,9.59
2017-11-22,30.9,31.15,30.39,30.16,20576.02,-0.33,-1.07,31.434,33.742,35.942,29741.16,43654.38,60804.11,6.43
2017-11-23,29.85,30.26,28.7,28.66,27011.42,-1.67,-5.5,30.404,32.836,35.696,30191.13,39399.12,62145.84,8.44
2017-11-24,28.11,28.97,28.38,28.11,20188.93,-0.45,-1.56,29.886,31.933,35.265,25187.36,34855.0,63116.18,6.31
2017-11-27,28.56,29.39,28.95,28.01,23178.91,0.56,1.97,29.426,31.199,34.678,24328.1,31601.55,63501.24,7.24
2017-11-28,28.75,29.73,29.62,28.65,23636.51,0.72,2.49,29.208,30.676,34.07,22918.36,27867.07,55488.8,7.39
2017-11-29,29.6,29.61,29.01,28.4,22011.45,-0.61,-2.06,28.932,30.183,33.36,23205.44,26473.3,48698.19,6.88
2017-11-30,28.81,29.54,28.97,28.8,17713.94,-0.03,-0.1,28.986,29.695,32.865,21345.95,25768.54,43968.06,5.54
2017-12-01,28.9,29.18,29.0,28.7,12691.02,0.02,0.07,29.11,29.498,32.508,19846.37,22516.86,40177.94,3.97
2017-12-04,28.86,28.95,26.8,26.53,31193.46,-2.19,-7.55,28.68,29.053,32.028,21449.28,22888.69,39018.33,9.75
2017-12-05,26.41,27.03,25.53,25.0,21223.53,-1.24,-4.63,27.862,28.535,31.486,20966.68,21942.52,36590.62,6.63
2017-12-06,25.53,26.0,25.99,25.06,18187.41,0.44,1.72,27.258,28.095,30.919,20201.87,21703.66,32679.02,5.68
2017-12-07,25.93,26.44,26.37,25.51,20577.36,0.38,1.46,26.738,27.862,30.349,20774.56,21060.25,30229.69,6.43
2017-12-08,27.09,29.03,29.03,27.09,32900.93,2.64,10.0,26.744,27.927,29.93,24816.54,22331.45,28593.23,10.28
2017-12-11,29.49,29.59,28.88,28.6,53354.82,-0.15,-0.52,27.16,27.92,29.56,29248.81,25349.04,28475.3,16.67
2017-12-12,28.6,28.83,27.91,27.71,27280.29,-0.95,-3.29,27.636,27.749,29.213,30460.16,25713.42,26790.24,8.53
2017-12-13,27.41,28.39,28.01,27.41,21351.33,0.15,0.54,28.04,27.649,28.916,31092.95,25647.41,26060.36,6.67
2017-12-14,27.75,28.42,28.42,27.34,22178.4,0.41,1.46,28.45,27.594,28.645,31413.15,26093.86,25931.2,6.93
2017-12-15,28.0,28.18,27.44,27.44,16678.1,-0.95,-3.35,28.132,27.438,28.468,28168.59,26492.56,24504.71,5.21
2017-12-18,27.47,27.77,27.15,26.91,12182.09,-0.32,-1.17,27.786,27.473,28.263,19934.04,24591.43,23740.06,3.81
2017-12-19,27.03,27.78,27.71,27.03,14483.52,0.55,2.02,27.746,27.691,28.113,17374.69,23917.43,22929.97,4.53
