date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-08-25,8.44,10.12,10.12,8.44,179.0,3.09,43.95,10.12,10.12,10.12,179.0,179.0,179.0,0.04
2017-08-28,11.13,11.13,11.13,11.13,68.79,1.01,9.98,10.625,10.625,10.625,123.9,123.9,123.9,0.02
2017-08-29,12.24,12.24,12.24,12.24,32.94,1.11,9.97,11.163,11.163,11.163,93.58,93.58,93.58,0.01
2017-08-30,13.46,13.46,13.46,13.46,101.0,1.22,9.97,11.738,11.738,11.738,95.43,95.43,95.43,0.03
2017-08-31,14.81,14.81,14.81,14.81,159.61,1.35,10.03,12.352,12.352,12.352,108.27,108.27,108.27,0.04
2017-09-01,16.29,16.29,16.29,16.29,273.56,1.48,9.99,13.586,13.008,13.008,127.18,135.82,135.82,0.07
2017-09-04,17.92,17.92,17.92,17.92,617.95,1.63,10.01,14.944,13.71,13.71,237.01,204.69,204.69,0.15
2017-09-05,19.71,19.71,19.71,19.71,851.9,1.79,9.99,16.438,14.46,14.46,400.8,285.59,285.59,0.21
2017-09-06,21.68,21.68,21.68,21.68,1251.41,1.97,9.99,18.082,15.262,15.262,630.89,392.91,392.91,0.31
2017-09-07,23.85,23.85,23.85,23.85,2022.34,2.17,10.01,19.89,16.121,16.121,1003.43,555.85,555.85,0.51
2017-09-13,26.24,26.24,26.24,26.24,3832.86,2.39,10.02,21.88,17.733,17.041,1715.29,921.24,853.76,0.96
2017-09-14,28.86,28.86,28.86,28.86,5448.26,2.62,9.98,24.068,19.506,18.026,2681.35,1459.18,1236.64,1.36
2017-09-15,31.75,31.75,31.75,31.75,4826.22,2.89,10.01,26.476,21.457,19.082,3476.22,1938.51,1512.76,1.21
2017-09-18,32.0,32.0,28.61,28.6,228342.16,-3.14,-9.89,27.862,22.972,19.762,48894.37,24762.63,17714.86,57.07
2017-09-19,27.43,30.57,29.9,27.21,196377.27,1.29,4.51,29.072,24.481,20.438,87765.35,44384.39,29625.68,49.08
2017-09-20,28.59,32.89,32.89,27.54,186427.23,2.99,10.0,30.402,26.141,21.216,124284.23,62999.76,39425.78,46.6
2017-09-21,34.87,36.18,36.18,31.94,278634.53,3.29,10.0,31.866,27.967,22.096,178921.48,90801.42,53496.88,69.64
2017-09-22,36.0,39.8,39.8,35.2,156300.44,3.62,10.01,33.476,29.976,23.08,209216.33,106346.27,59208.19,39.07
2017-09-26,41.3,43.0,37.62,36.01,257756.16,-2.18,-5.48,35.278,31.57,23.845,215099.13,131996.75,69658.09,64.42
2017-09-27,37.62,37.96,36.06,34.22,206449.59,-1.56,-4.15,36.51,32.791,24.456,217113.59,152439.47,76497.66,51.6
2017-09-28,35.6,35.82,33.76,33.66,150153.0,-2.3,-6.38,36.684,33.543,25.638,209858.74,167071.49,83996.36,37.53
2017-09-29,33.09,33.79,31.6,30.69,157201.58,-2.16,-6.4,35.768,33.817,26.662,185572.15,182246.82,91853.0,39.29
2017-10-09,31.7,32.22,31.83,31.11,102668.51,0.23,0.73,34.174,33.825,27.641,174845.77,192031.05,96984.78,25.66
2017-10-10,31.77,32.4,32.02,31.21,97066.96,0.19,0.6,33.054,34.166,28.569,142707.93,178903.53,101833.08,24.26
2017-10-11,31.55,31.6,29.2,29.18,131012.51,-2.82,-8.81,31.682,34.096,29.289,127620.51,172367.05,108375.72,32.74
2017-10-12,29.2,29.42,28.55,27.76,85453.73,-0.65,-2.23,30.64,33.662,29.902,114680.66,162269.7,112634.73,21.36
2017-10-13,28.41,29.27,28.9,28.41,64806.72,0.35,1.23,30.1,32.934,30.451,96201.69,140886.92,115844.17,16.2
2017-10-16,28.91,29.99,29.05,27.65,92272.81,0.15,0.52,29.544,31.859,30.918,94122.55,134484.16,120415.21,23.06
2017-10-17,28.31,29.88,29.2,28.1,87440.2,0.15,0.52,28.98,31.017,31.294,92197.19,117452.56,124724.65,21.85
2017-10-18,28.69,29.54,27.5,27.38,81816.13,-1.7,-5.82,28.64,30.161,31.476,82357.92,104989.22,128714.34,20.45
2017-10-19,27.35,28.2,27.84,27.17,51187.24,0.34,1.24,28.498,29.569,31.556,75504.62,95092.64,131082.06,12.79
2017-10-20,27.85,30.3,29.74,27.51,123533.43,1.9,6.83,28.666,29.383,31.6,87249.96,91725.82,136986.32,30.88
2017-10-23,29.4,30.2,29.64,28.8,82431.02,-0.1,-0.34,28.784,29.164,31.495,85281.6,89702.08,140866.56,20.6
2017-10-24,29.05,29.26,27.89,27.77,79326.14,-1.75,-5.9,28.522,28.751,31.459,83658.79,87927.99,133415.76,19.83
2017-10-25,27.88,28.37,28.28,27.5,46004.36,0.39,1.4,28.678,28.659,31.377,76496.44,79427.18,125897.11,11.5
2017-10-26,28.2,28.25,28.02,27.68,42769.84,-0.26,-0.92,28.714,28.606,31.134,74812.96,75158.79,118714.25,10.69
2017-10-27,28.0,28.29,27.65,27.5,45094.9,-0.37,-1.32,28.296,28.481,30.708,59125.25,73187.61,107037.26,11.27
2017-10-30,27.29,27.34,24.89,24.89,72797.21,-2.76,-9.98,27.346,28.065,29.962,57198.49,71240.05,102862.1,18.19
2017-10-31,24.68,24.98,24.76,24.01,41099.41,-0.13,-0.52,26.72,27.621,29.319,49553.14,66605.97,92029.26,10.27
2017-11-01,24.7,25.18,24.88,24.66,32155.4,0.12,0.48,26.04,27.359,28.76,46783.35,61639.9,83314.55,8.04
2017-11-02,24.95,26.06,25.39,24.14,57536.23,0.51,2.05,25.514,27.114,28.342,49736.63,62274.79,78683.72,14.38
2017-11-03,25.12,26.99,26.37,25.12,74301.04,0.98,3.86,25.258,26.777,28.08,55577.86,57351.56,74538.69,18.57
2017-11-06,26.57,27.29,26.42,26.32,56906.84,0.05,0.19,25.564,26.455,27.81,52399.78,54799.14,72250.61,14.22
2017-11-07,26.13,26.13,25.83,25.28,42961.97,-0.59,-2.23,25.778,26.249,27.5,52772.3,51162.72,69545.36,10.74
2017-11-08,25.87,27.32,26.81,25.81,68383.3,0.98,3.79,26.164,26.102,27.381,60017.88,53400.61,66413.9,17.09
2017-11-09,26.81,26.81,26.29,26.02,39601.39,-0.52,-1.94,26.344,25.929,27.268,56430.91,53083.77,64121.28,9.9
2017-11-10,26.29,26.57,26.11,26.04,31525.58,-0.18,-0.69,26.292,25.775,27.128,47875.82,51726.84,62457.22,7.88
2017-11-13,26.3,26.66,26.41,25.91,30705.83,0.3,1.15,26.29,25.927,26.996,42635.61,47517.7,59378.87,7.67
2017-11-14,26.56,26.65,25.24,25.1,45597.8,-1.17,-4.43,26.172,25.975,26.798,43162.78,47967.54,57286.75,11.4
2017-11-15,25.29,25.34,24.23,24.03,41574.86,-1.01,-4.0,25.656,25.91,26.635,37801.09,48909.48,55274.69,10.39
2017-11-16,24.07,24.57,23.58,23.35,25218.54,-0.65,-2.68,25.114,25.729,26.422,34924.52,45677.72,53976.25,6.3
2017-11-17,23.56,23.7,21.22,21.22,47054.4,-2.36,-10.01,24.136,25.214,25.996,38030.29,42953.05,50152.3,11.76
2017-11-20,21.1,21.2,20.89,19.89,28939.94,-0.33,-1.55,23.032,24.661,25.558,37677.11,40156.36,47477.75,7.23
2017-11-21,21.0,21.49,20.79,20.38,25283.07,-0.1,-0.48,22.142,24.157,25.203,33614.16,38388.47,44775.6,6.32
2017-11-22,20.79,21.13,20.86,20.39,21027.15,0.07,0.34,21.468,23.562,24.832,29504.62,33652.86,43526.74,5.26
2017-11-23,20.81,21.98,21.7,20.51,43949.32,0.84,4.03,21.092,23.103,24.516,33250.78,34087.65,43585.71,10.98
2017-11-24,21.4,21.78,21.1,20.84,32514.35,-0.6,-2.77,21.068,22.602,24.189,30342.77,34186.53,42956.68,8.13
2017-11-27,20.9,21.6,20.9,20.56,23699.73,-0.2,-0.95,21.07,22.051,23.989,29294.72,33485.92,40501.81,5.92
2017-11-28,20.9,21.36,21.25,20.75,22140.58,0.35,1.68,21.162,21.652,23.814,28666.23,31140.19,39553.87,5.53
2017-11-29,21.27,21.34,20.49,20.06,26663.85,-0.76,-3.58,21.088,21.278,23.594,29793.57,29649.09,39279.29,6.66
2017-11-30,20.56,21.4,21.23,20.24,34279.36,0.74,3.61,20.994,21.043,23.386,27859.57,30555.18,38116.45,8.57
2017-12-01,21.33,23.35,23.35,21.24,87890.43,2.12,9.99,21.444,21.256,23.235,38934.79,34638.78,38795.91,21.97
2017-12-04,23.67,23.93,22.23,21.86,88060.18,-1.12,-4.8,21.71,21.39,23.026,51806.88,40550.8,40353.58,22.01
2017-12-05,22.19,24.45,24.45,22.19,87222.34,2.22,9.99,22.35,21.756,22.957,64823.23,46744.73,42566.6,21.8
2017-12-06,24.65,26.9,26.9,24.44,155364.66,2.45,10.02,23.632,22.36,22.961,90563.39,60178.48,46915.67,38.83
2017-12-07,26.89,29.5,28.07,26.78,184901.2,1.17,4.35,25.0,22.997,23.05,120687.76,74273.67,54180.66,46.21
2017-12-08,27.71,28.5,27.74,26.92,144353.56,-0.33,-1.18,25.878,23.661,23.132,131980.39,85457.59,59822.06,36.08
2017-12-11,26.99,29.0,28.14,26.22,152524.34,0.4,1.44,27.06,24.385,23.218,144873.22,98340.05,65912.98,38.12
2017-12-12,27.23,27.48,26.48,26.41,110042.8,-1.66,-5.9,27.466,24.908,23.28,149437.31,107130.27,69135.23,27.5
2017-12-13,26.55,27.4,27.08,25.97,88290.08,0.6,2.27,27.502,25.567,23.423,136022.4,113292.89,71470.99,22.07
2017-12-14,26.84,29.79,29.79,26.57,161953.62,2.71,10.01,27.846,26.423,23.733,131432.88,126060.32,78307.75,40.48
2017-12-15,29.79,29.8,28.99,28.15,143741.59,-0.8,-2.69,28.096,26.987,24.122,131310.49,131645.44,83142.11,35.93
2017-12-18,27.95,28.46,28.35,27.5,80265.55,-0.64,-2.21,28.138,27.599,24.495,116858.73,130865.97,85708.39,20.06
2017-12-19,28.3,28.3,27.57,27.5,69023.65,-0.78,-2.75,28.356,27.911,24.834,108654.9,129046.1,87895.42,17.25
2017-12-20,27.2,27.21,26.2,25.01,93748.18,-1.37,-4.97,28.18,27.841,25.101,109746.52,122884.46,91531.47,23.43
2017-12-21,26.0,27.82,26.8,25.39,94902.41,0.6,2.29,27.582,27.714,25.356,96336.28,113884.58,94079.12,23.72
2017-12-22,26.2,26.99,25.18,24.98,76876.43,-1.62,-6.04,26.82,27.458,25.56,82963.24,107136.87,96297.23,19.21
2017-12-25,24.4,24.79,23.99,23.18,84203.83,-1.19,-4.73,25.948,27.043,25.714,83750.9,100304.81,99322.43,21.05
2017-12-26,23.76,25.29,24.76,23.61,82331.78,0.77,3.21,25.386,26.871,25.89,86412.53,97533.71,102331.99,20.58
2017-12-27,24.65,25.87,24.96,24.48,85374.82,0.2,0.81,25.138,26.659,26.113,84737.85,97242.19,105267.54,21.34
2017-12-28,24.64,26.98,26.23,23.61,111369.54,1.27,5.09,25.024,26.303,26.363,88031.28,92183.78,109122.05,27.84
2017-12-29,25.85,27.99,27.5,25.38,132618.2,1.27,4.84,25.488,26.154,26.571,99179.63,91071.44,111358.44,33.15
2018-01-02,26.87,27.78,27.16,26.58,91113.65,-0.34,-1.24,26.122,26.035,26.817,100561.6,92156.25,111511.11,22.77
2018-01-03,26.88,26.95,26.09,25.81,80063.79,-1.07,-3.94,26.388,25.887,26.899,100108.0,93260.26,111153.18,20.01
2018-01-04,25.73,27.39,27.39,25.41,101255.03,1.3,4.98,26.874,26.006,26.924,103284.04,94010.95,108447.7,25.31
2018-01-05,27.12,27.47,26.2,26.12,74886.15,-1.19,-4.34,26.868,25.946,26.83,95987.36,92009.32,102946.95,18.72
